[390.77353, 266.31049;
 309.6571, 216.05202;
 388.828, 269.33237;
 273.64545, 216.28069;
 291.88824, 215.99812;
 286.8071, 216.50385;
 269.78021, 214.18254;
 412.20056, 235.27118;
 392.10504, 235.65123;
 362.77966, 231.66573;
 398.24573, 232.19438;
 379.36993, 229.26509;
 361.629, 225.03247;
 375.19598, 227.35411;
 357.16159, 224.45827;
 416.276, 268.20786;
 400.04974, 239.54942;
 343.54135, 223.28139;
 367.10425, 229.94086;
 209.72141, 261.5112;
 400.69327, 246.71272;
 403.44781, 240.83572;
 291.66537, 223.48276;
 247.62015, 224.42348;
 326.65759, 229.72517;
 214.43919, 268.60397;
 291.75488, 212.53189;
 386.17093, 280.26807;
 386.62549, 296.67807;
 292.69214, 230.63841;
 264.99689, 229.72105;
 279.00659, 225.90909;
 275.27225, 219.55122;
 266.55118, 217.75194;
 224.93156, 247.92322;
 246.48012, 255.15706;
 249.86526, 224.54039;
 304.03647, 221.26619;
 276.18234, 209.3504;
 259.83261, 215.78812;
 326.2229, 218.96686;
 312.02509, 213.62132;
 233.12982, 251.56415;
 246.05344, 227.76012;
 228.65833, 250.6666;
 249.02016, 235.31686;
 216.84584, 262.15216;
 258.18506, 224.91026;
 334.46918, 233.65576;
 272.39444, 232.27087;
 269.29288, 225.61478;
 247.59792, 231.94409;
 261.5575, 212.76945;
 297.65686, 227.96504;
 416.14496, 247.22768;
 343.94174, 234.71062;
 238.72337, 259.0976;
 223.96599, 251.66833;
 344.92953, 280.92737;
 361.43213, 284.6687;
 321.40833, 224.14557;
 315.42047, 230.23167;
 241.07841, 232.18895;
 283.43042, 231.62564;
 379.51868, 231.70662;
 247.17033, 222.00928;
 231.98851, 249.3192;
 396.81729, 237.83932;
 229.69922, 258.2189;
 264.78864, 218.28839;
 296.76685, 218.66275;
 248.42917, 232.99963;
 267.29376, 217.75909;
 260.54849, 227.50554;
 276.42444, 220.56441;
 280.25687, 206.77176;
 263.27985, 213.95685;
 251.80865, 223.71878;
 287.95856, 224.76228;
 291.62216, 215.40302;
 279.76343, 216.97086;
 258.8978, 223.67813;
 274.32886, 206.70895;
 271.59357, 221.12666;
 255.92413, 221.64038;
 300.93042, 220.04529;
 269.56796, 213.48917;
 274.39511, 212.81055;
 294.10593, 217.94093;
 307.3761, 225.18816;
 290.75882, 211.85011;
 263.67328, 207.45374;
 264.89001, 220.9969;
 259.63104, 219.25275;
 378.41437, 226.16214;
 236.49115, 240.17236;
 266.74115, 213.36717;
 301.03085, 215.66833;
 285.78619, 211.35483;
 225.29337, 241.89145;
 271.90567, 206.52567;
 273.21921, 203.35228;
 258.33389, 209.65157;
 266.46039, 208.94836;
 297.60913, 207.61145;
 311.56595, 207.19191;
 360.49881, 228.24266;
 360.55542, 222.47362;
 239.82399, 225.50551;
 303.10507, 206.09424;
 277.18436, 208.01158;
 292.55353, 211.99886;
 272.16522, 213.77554;
 272.19485, 212.81113;
 256.84006, 210.82393;
 288.04239, 216.03333;
 269.21634, 201.53238;
 226.9333, 254.6384;
 242.15659, 257.60358;
 223.51091, 245.91594;
 252.1456, 249.84288;
 327.66803, 219.18773;
 306.13406, 216.66057;
 260.87228, 239.65437;
 310.41553, 223.38399;
 309.24542, 214.03903;
 263.20963, 212.98396;
 330.28018, 223.92981;
 327.05984, 214.8324;
 321.46503, 223.38168;
 315.27496, 229.14435;
 336.70837, 227.39627;
 258.24738, 222.58328;
 315.07324, 217.15538;
 253.90886, 220.38821;
 263.08524, 210.23686;
 340.18967, 223.45689;
 279.6351, 215.16339;
 323.59952, 231.37431;
 267.42587, 217.11911;
 224.52895, 250.59758;
 255.32396, 229.6048;
 234.46751, 244.07515;
 235.95621, 245.0264;
 265.58783, 203.90611;
 263.60791, 219.98143;
 254.09294, 226.21123;
 253.67152, 218.34947;
 238.40408, 244.44235;
 211.73022, 251.23714;
 225.082, 253.98067;
 246.55148, 264.03317;
 226.44641, 260.89413;
 266.76306, 208.16402;
 260.87976, 208.00282;
 244.13104, 231.91513;
 233.69881, 266.55948;
 217.02255, 258.96265;
 247.35117, 243.03773;
 288.98587, 275.73868;
 263.33817, 215.43997;
 263.09702, 219.75253;
 272.89844, 209.57999;
 275.04333, 215.32503;
 268.05322, 215.03909;
 259.43069, 218.13989;
 267.79175, 211.84648;
