[334.11322, 171.97449;
 335.09924, 258.00848;
 343.18405, 218.6304;
 363.64096, 232.15506;
 353.23685, 225.7708;
 357.79532, 218.21184;
 348.64572, 190.82841;
 362.1915, 254.92175;
 292.67447, 194.44246;
 309.47949, 220.44139;
 211.45451, 216.51907;
 344.34781, 312.64822;
 378.32489, 297.10434;
 226.56453, 193.92567;
 360.17554, 280.62943;
 371.24921, 295.83197;
 373.60403, 310.39215;
 314.80109, 174.53242;
 323.72888, 197.42043;
 252.44714, 187.42079;
 327.13, 211.23782;
 320.57751, 183.94762;
 338.07709, 264.48224;
 354.98288, 268.41556;
 368.50003, 288.74115;
 364.57422, 285.30789;
 359.81546, 270.75504;
 353.98889, 261.62357;
 333.52588, 225.69044;
 325.87561, 188.00366;
 330.70288, 201.05743;
 339.53445, 317.49908;
 349.46671, 283.80475;
 356.76749, 245.04961;
 346.32159, 231.49654;
 341.34909, 240.11267;
 335.24933, 221.19293;
 335.19675, 203.15688;
 353.44443, 304.11032;
 337.91727, 303.63498;
 309.18219, 178.14499;
 365.18243, 307.40555;
 328.86023, 193.31982;
 313.2865, 190.23409;
 311.76559, 184.10526;
 322.27649, 181.84126;
 332.6861, 229.29961;
 324.22806, 178.76501;
 331.74652, 207.48672;
 316.95947, 178.74725;
 299.04309, 186.021;
 336.43423, 246.16093;
 323.64645, 239.68817;
 327.74536, 214.07921;
 225.56163, 196.85817;
 227.48349, 209.81808;
 319.26331, 202.51364;
 310.98297, 177.49081;
 341.62985, 199.22537;
 352.77383, 209.97354;
 317.22568, 216.13074;
 240.6922, 250.54491;
 212.22194, 219.7652;
 235.61018, 189.91309;
 332.90387, 220.19704;
 312.10275, 177.31932;
 311.79437, 178.22899;
 326.9079, 177.24878;
 313.20581, 182.34668;
 319.37006, 177.56511;
 321.67157, 176.8719;
 271.68723, 185.13295;
 293.72629, 179.14474;
 331.9516, 191.0576;
 316.21475, 189.1171;
 231.28502, 191.07596;
 328.50311, 194.6581;
 302.96466, 185.63593;
 288.05518, 184.96385;
 262.3782, 191.60487;
 283.86069, 187.14977;
 330.18521, 190.32953;
 292.71262, 187.64828;
 233.30681, 189.94525;
 272.88583, 191.44156;
 329.02676, 185.94182;
 214.51651, 192.71106;
 302.63745, 179.41493;
 232.2368, 198.72339;
 327.09674, 179.33582;
 324.21362, 180.74068;
 272.75925, 183.68552;
 224.33479, 213.94153;
 318.98569, 186.02402;
 214.66875, 219.89748;
 210.46051, 198.00612;
 242.19867, 203.58794;
 252.41209, 194.80392;
 216.88954, 207.05847;
 256.13217, 190.39723;
 253.31818, 186.65715;
 284.8277, 187.54475;
 253.80336, 200.92197;
 218.87132, 200.51581;
 218.71402, 217.18536;
 243.78943, 208.3476;
 297.03381, 176.89755;
 309.91168, 179.15831;
 305.74835, 182.42004;
 264.11948, 198.17682;
 263.85031, 191.79927;
 244.42323, 194.34306;
 224.94829, 198.54861;
 231.77605, 203.93727;
 218.91214, 232.06615;
 280.94055, 184.15604;
 262.82629, 185.42572;
 284.9873, 180.51262;
 233.18637, 197.34396;
 219.57762, 235.86452;
 219.403, 208.63466;
 272.84933, 206.71558;
 220.70822, 194.8091;
 240.37193, 191.43484;
 233.24258, 195.97501;
 244.12766, 188.70277;
 225.87709, 235.27554;
 266.09027, 183.03401;
