[252.9902, 304.57568;
 299.37094, 281.13336;
 316.28659, 292.75284;
 329.05341, 287.06482;
 312.93579, 282.45755;
 342.88177, 305.81577;
 312.73627, 281.66443;
 303.24408, 275.5751;
 299.46243, 272.7439;
 338.30859, 290.19382;
 309.15219, 280.19803;
 356.67276, 326.80612;
 316.41525, 283.91403;
 327.88821, 289.28305;
 362.26434, 309.17441;
 349.96765, 305.05746;
 336.67569, 294.2915;
 346.61615, 339.55362;
 323.78506, 286.87201;
 258.01196, 343.64005;
 313.05481, 287.62173;
 276.29089, 318.72211;
 349.42188, 325.90295;
 226.76604, 299.6532;
 241.02061, 293.23584;
 220.05318, 291.40366;
 239.20041, 284.3132;
 230.93146, 313.69843;
 240.79764, 281.62073;
 286.58517, 283.74203;
 234.45775, 298.19104;
 230.07899, 301.42038;
 293.18857, 261.86664;
 287.87592, 354.3591;
 245.10364, 281.86124;
 284.56613, 268.29446;
 262.20825, 337.84659;
 201.25798, 297.75748;
 352.91013, 324.44977;
 278.21045, 350.09647;
 325.94449, 331.27109;
 326.59036, 343.59561;
 305.14114, 339.70157;
 287.40073, 341.99619;
 293.73566, 355.8161;
 223.19464, 293.83673;
 273.24246, 288.35632;
 303.52432, 315.18903;
 321.52277, 295.79907;
 265.28436, 338.77802;
 278.33719, 341.418;
 316.83673, 344.80588;
 268.39456, 338.89661;
 262.58905, 311.51102;
 291.55823, 300.64731;
 266.58679, 275.32675;
 235.27605, 312.78928;
 262.56683, 279.88547;
 275.97186, 276.05655;
 230.83353, 293.44376;
 264.25653, 276.46249;
 230.97104, 285.34814;
 270.74887, 272.01837;
 258.03491, 275.85159;
 294.26413, 300.46857;
 309.77045, 348.16852;
 237.41615, 310.31161;
 331.08081, 298.68054;
 351.37119, 319.00089;
 347.2012, 349.29483;
 359.34744, 335.85425;
 317.2131, 309.25244;
 301.53052, 288.14801;
 281.81729, 272.45056;
 289.27878, 278.37433;
 351.47705, 299.0705;
 354.59357, 303.07434;
 296.64493, 282.63196;
 294.02234, 288.95071;
 325.67978, 300.99142;
 377.06845, 333.43585;
 304.66232, 281.68805;
 291.43802, 266.36032;
 333.59607, 290.44012;
 316.04001, 279.18542;
 325.13599, 290.0553;
 299.00403, 261.15466;
 323.81448, 286.4541;
 335.24979, 298.46591;
 344.9357, 300.09741;
 307.21957, 273.05777;
 338.16504, 295.6886;
 326.2041, 282.05331;
 336.1561, 301.13452;
 358.47891, 308.13196;
 276.85425, 349.72195;
 286.13202, 361.8866;
 286.94937, 364.17291;
 303.17862, 356.41068;
 269.34299, 356.25183;
 296.04575, 359.19241;
 298.28268, 347.70828;
 298.15225, 351.47357;
 295.66833, 360.90692;
 286.59506, 346.54507;
 275.80832, 363.59732;
 258.17657, 330.2767;
 280.55884, 342.61356;
 288.62457, 362.40195;
 281.83713, 356.56436;
 278.27274, 364.2999;
 304.27179, 353.0127;
 278.84671, 357.03214;
 263.15363, 342.56473;
 296.30051, 354.4176;
 283.75613, 362.07544;
 272.91455, 350.59634;
 262.16589, 350.26553;
 314.40796, 356.26376;
 242.82224, 326.00879;
 264.46906, 338.33777;
 265.89426, 351.54916;
 273.33249, 348.49753;
 317.71121, 356.69025;
 270.74036, 360.0123;
 278.00351, 357.39221;
 281.26483, 369.27469;
 293.46817, 353.60501;
 255.27516, 339.98859;
 234.32195, 287.75781;
 222.03337, 287.2442;
 276.00888, 352.76904;
 236.50131, 282.62842;
 227.07903, 290.15967;
 242.03239, 285.99359;
 229.8302, 296.2507;
 218.49355, 293.95605;
 221.7197, 306.99765;
 213.83594, 298.60593;
 223.11092, 296.1669;
 241.65974, 326.05997;
 312.73267, 341.7106;
 231.67395, 306.79315;
 366.81754, 329.70657;
 340.39658, 333.17587;
 217.5376, 293.5553;
 342.64676, 315.61377;
 233.10211, 290.04245;
 247.83127, 285.4762;
 235.16737, 321.43286;
 211.75339, 295.67871;
 268.42584, 356.08417;
 335.63016, 332.30414;
 222.26401, 297.68353;
 269.63995, 276.60446;
 266.66818, 281.98764;
 240.16776, 295.34396;
 303.45078, 343.96365;
 219.41621, 294.85501;
 253.47594, 282.17197;
 239.85799, 286.9949;
 279.51938, 272.29633;
 223.40039, 290.7182;
 216.7935, 300.31613;
 298.68484, 361.73981;
 223.21892, 298.51889;
 215.28062, 301.61627;
 290.97754, 273.18362;
 224.53432, 301.42307;
 265.85098, 275.69376;
 231.54643, 288.20615;
 211.7561, 296.1524;
 287.8768, 279.34744;
 246.03761, 283.81952;
 297.46985, 278.54083;
 237.74162, 285.02847;
 242.66257, 290.24792;
 259.95023, 278.87625;
 285.98868, 282.31284;
 289.13162, 269.29288;
 234.24089, 282.01141;
 356.01657, 334.17957;
 366.92773, 311.81476;
 292.08505, 255.90677;
 364.51508, 311.75928;
 295.80344, 270.64096;
 301.21802, 279.58487;
 325.18607, 303.96912;
