[269.53632, 208.18724;
 250.89909, 224.98428;
 269.36209, 230.65404;
 265.20563, 210.22101;
 282.24112, 209.69749;
 246.45245, 226.16522;
 210.2832, 256.73901;
 180.67781, 299.39337;
 236.72874, 229.79013;
 288.98349, 222.27441;
 286.96515, 205.45508;
 196.60362, 303.34912;
 254.772, 188.30086;
 307.66434, 221.07437;
 331.91403, 249.08965;
 328.74835, 232.44543;
 218.29778, 321.73135;
 346.45477, 243.1946;
 350.94937, 243.90759;
 355.12991, 263.10675;
 203.59895, 288.75647;
 191.68939, 283.09866;
 182.08218, 288.23227;
 195.18178, 268.07739;
 319.67395, 224.34979;
 374.09601, 257.50519;
 406.53317, 422.78537;
 206.52943, 260.44452;
 214.47337, 257.68439;
 218.69106, 304.52191;
 180.12047, 300.55414;
 190.56886, 306.97467;
 213.68234, 269.73895;
 278.95425, 213.09845;
 298.50943, 211.16521;
 279.03214, 187.81671;
 267.83713, 179.43806;
 226.85225, 244.23259;
 275.0025, 197.88297;
 255.70425, 222.19902;
 225.12633, 336.07715;
 315.34869, 236.88683;
 299.25565, 227.59213;
 324.12097, 231.88284;
 271.00308, 179.26021;
 216.0134, 248.13342;
 271.54718, 185.32973;
 235.36301, 244.20474;
 251.22417, 273.79626;
 260.23526, 231.45779;
 268.93277, 189.37326;
 265.92661, 189.46515;
 202.10394, 312.68982;
 225.91966, 247.87576;
 442.84119, 368.05646;
 291.52695, 211.14119;
 168.63246, 289.746;
 197.87741, 280.39926;
 185.2784, 298.85602;
 393.43762, 479.60349;
 269.40033, 222.75752;
 313.75983, 266.80826;
 398.85202, 273.59158;
 300.65591, 244.88808;
 325.39676, 275.17175;
 188.48878, 274.67624;
 186.27325, 292.8158;
 208.07663, 309.51981;
 192.20332, 270.85605;
 191.64922, 285.85626;
 224.92639, 277.52478;
 224.5349, 320.85953;
 246.36272, 230.42558;
 204.72101, 265.53683;
 234.67438, 247.33394;
 241.33534, 231.97424;
 340.03488, 227.20532;
 174.17363, 274.13083;
 323.24261, 260.42621;
 258.27716, 182.36955;
 248.43439, 353.40118;
 370.36874, 348.53058;
 284.3551, 227.14896;
 460.71573, 347.30615;
 264.31927, 219.94728;
 357.84454, 253.38319;
 246.16931, 257.44711;
 311.78604, 251.25708;
 423.09579, 284.89899;
 458.34354, 326.10239;
 451.17743, 301.82156;
 279.50491, 229.94611;
 439.3392, 341.28839;
 175.72672, 303.60992;
 320.50433, 239.80989;
 265.22632, 215.22073;
 260.47208, 215.55989;
 283.43829, 213.18839;
 273.80197, 206.40559;
 438.97379, 330.50015;
 189.78178, 309.51315;
 212.83667, 293.15756;
 365.92822, 452.56882;
 280.86801, 203.15303;
 285.41965, 198.42711;
 281.44153, 194.06573;
 283.73392, 193.85974;
 302.61496, 201.50735;
 208.31552, 287.96344;
 202.0083, 297.39993;
 272.7951, 189.56036;
 305.0047, 227.50957;
 284.67395, 213.12914;
 265.97369, 230.45605;
 305.18405, 210.54683;
 325.95862, 222.62227;
 245.24759, 251.24075;
 246.46935, 221.33771;
 480.30902, 323.80984;
 473.54764, 334.26413;
 231.08728, 241.14902;
 205.25995, 282.79199;
 224.89572, 349.81458;
 205.45256, 257.99197;
 304.22711, 228.89619;
 389.86841, 456.51755;
 299.39404, 225.30743;
 311.53671, 210.52075;
 297.51123, 206.54697;
 274.95297, 234.77745;
 430.59677, 308.31586;
 458.20572, 357.00034;
 357.42627, 237.7085;
 271.45419, 179.68921;
 467.94394, 313.83139;
 413.24728, 277.59909;
 438.89615, 290.24652;
 400.07788, 277.03748;
 396.28061, 367.4538;
 467.98291, 358.79553;
 285.57059, 243.12405;
 293.7316, 226.6893;
 441.05371, 323.414;
 285.26315, 196.99927;
 443.83167, 313.06717;
 434.36807, 300.04077;
 264.58264, 220.95065;
 265.62296, 235.51051;
 274.04041, 228.71548;
 285.47003, 225.28932;
 425.19919, 288.71918;
 458.68124, 325.31665;
 320.54355, 226.31708;
 313.22141, 221.71095;
 292.38815, 210.89174;
 318.08173, 214.10951;
 351.96628, 245.85661;
 328.77536, 226.94864;
 333.31454, 238.99348;
 348.18073, 244.69159;
 293.5506, 222.07314;
 303.06131, 216.58578;
 336.52905, 254.45213;
 324.63696, 216.18275;
 262.81015, 187.85881;
 307.17862, 411.63144;
 429.63306, 401.6236;
 409.87177, 427.05527;
 289.58929, 224.76759;
 307.70923, 220.97148;
 287.00656, 207.99159;
 264.6969, 208.42271;
 299.91434, 214.32803;
 299.93228, 231.58418;
 281.59119, 188.54642;
 285.25171, 195.20427;
 340.70752, 227.65163;
 272.68048, 191.85936;
 304.99078, 231.38429;
 267.38699, 177.60332;
 274.90704, 180.91551;
 262.62625, 188.69728;
 467.73508, 326.07986;
 466.44623, 311.42941;
 404.95898, 288.20816;
 280.88586, 390.28424;
 256.15488, 372.28967;
 283.2103, 208.80952;
 458.67398, 362.02295;
 439.42816, 294.22125;
 457.77017, 350.09677;
 445.59164, 320.14243;
 269.37286, 209.43521;
 251.19226, 225.04532;
 206.91245, 275.28638;
 231.13431, 242.17885;
 269.43515, 223.89417;
 188.51794, 317.50674;
 356.35043, 255.27629;
 254.4772, 229.16678;
 232.48747, 330.01025;
 246.24474, 241.90987;
 251.99348, 246.11311;
 209.71046, 332.46735;
 226.13045, 325.95975;
 462.92877, 376.95239;
 191.27205, 284.60944;
 232.23204, 242.23788;
 210.14055, 244.46873;
 440.2933, 315.431;
 444.09152, 302.07086;
 492.2598, 326.28589;
 330.27292, 237.71632;
 231.72749, 265.92188;
 437.3999, 424.68912;
 398.92627, 486.62076;
 227.96117, 243.59912;
 448.3288, 383.88132;
 443.1348, 398.0466;
 289.12436, 236.54562;
 229.89464, 276.37823;
 188.94713, 292.39288;
 365.95718, 316.47885;
 186.39186, 295.27655;
 167.597, 299.65482;
 230.2515, 300.83112;
 363.18137, 453.57599;
 207.04231, 317.57605;
 264.06256, 225.85031;
 206.13286, 319.12573;
 210.92542, 266.86453;
 274.50134, 211.68819;
 210.12274, 263.35461;
 461.26492, 311.05588;
 205.22801, 271.65234;
 278.95755, 214.13397;
 341.16016, 228.92384;
 343.98483, 246.50401;
 240.55501, 270.75336;
 266.42273, 237.40089;
 357.28403, 262.77081;
 454.12949, 309.64487;
 255.59932, 226.79492;
 394.67908, 349.61581;
 294.80844, 231.69455;
 474.29388, 323.46558;
 284.52603, 214.08189;
 219.07181, 286.3949;
 328.60056, 251.5083;
 275.49496, 198.64661;
 254.73267, 212.13795;
 294.8862, 202.34579;
 300.93411, 236.10216;
 280.69772, 236.70518;
 282.80368, 218.09596;
 182.66026, 275.63287;
 253.98016, 183.7767;
 260.91696, 246.23386;
 278.17062, 190.07373;
 247.13223, 244.02148;
 266.10675, 216.33246;
 305.31039, 209.73602;
 298.69495, 210.9996;
 265.10535, 187.75374;
 263.63113, 178.95416;
 266.61353, 187.42323;
 269.56549, 193.29144;
 333.68637, 424.98346;
 306.80899, 227.32188;
 255.59236, 239.78194;
 272.6763, 213.70291;
 234.78485, 274.51959;
 212.37709, 274.48203;
 311.58505, 223.99117;
 292.58267, 207.68088;
 273.54608, 217.31239;
 285.13553, 201.56535;
 279.3165, 212.24409;
